AccounWeeks	ContractRenewal	DataPlan	DataUsage	CustServCalls	DayMins	DayCalls	MonthlyCharge	OverageFee	RoamMins	Churn
132	1	0	0	1	121.5	88	43	12.65	10.7	0
120	1	0	0.3	1	150.6	85	39	5.95	6.4	0
106	1	0	0	2	119.2	142	40	11.42	8.4	0
37	1	0	0	0	191.1	69	44	6.46	12.9	0
44	1	1	3.78	0	221.8	105	89.8	8.09	14	0
12	1	0	0	2	204.6	98	53	10.63	9.8	0
113	1	0	0	2	128.7	100	42	11.36	9.2	1
101	1	0	0	1	174.9	105	52	13.1	8.5	0
72	1	0	0.42	3	118.2	106	39.2	8.36	12.2	0
129	1	0	0	3	207	91	49	7.75	13.4	0
147	1	0	0.25	2	168.6	92	47.5	9.39	14.4	0
136	1	0	0	7	163.4	83	49	12.47	9.8	0
135	1	0	0.33	1	144.1	115	49.3	12.49	13.6	0
93	1	0	0.23	2	176.1	103	49.3	9.99	8.5	0
128	1	1	3.78	1	171.2	88	79.8	7.29	14	0
81	1	0	0	2	153.5	99	43	9.88	6.3	0
27	1	0	0.36	2	226.3	95	65.6	13.72	8.2	1
189	1	0	0	1	219.9	80	50	7.17	11.7	0
155	1	0	0	3	165.4	108	44	9.19	8.9	0
153	1	0	0	2	122.5	145	45	13.67	8	0
145	1	1	2.89	2	216	94	84.9	11.26	10.7	0
82	1	0	0	1	197.7	101	45	6.38	13.5	0
126	1	0	0	0	226.2	88	51	7.02	6.4	0
35	1	0	0.32	2	149.3	113	49.2	12.11	8.9	0
130	1	0	0	5	139.1	72	45	12.3	11.4	0
75	1	0	0.34	1	117.3	114	41.4	10.06	12.2	0
95	1	1	2	0	160.3	87	65	10.12	7.4	0
129	1	1	2.51	3	177.3	95	74.1	10.59	9.3	0
128	1	0	0	0	125.2	99	39	10.27	18.9	0
91	0	0	0	2	246.4	110	58	9.1	12.1	1
94	0	0	0	1	89.5	94	45	17	7.9	1
83	1	1	3.19	1	78.5	109	63.9	10.53	11.8	0
52	1	1	2.97	1	142.1	77	70.7	9.65	11	0
85	1	1	2.94	1	144.6	97	66.4	7	10.9	0
62	0	1	3.56	0	218.4	93	93.6	11.84	13.2	1
181	1	0	0	1	143.3	91	41	9.78	6	0
27	1	0	0	1	82.6	105	32	10.2	9.1	0
122	1	1	2.3	2	134.2	85	66	11.37	8.5	0
119	1	0	0	1	260.1	101	67	12.83	10	1
87	1	0	0	0	171.6	119	47	10.25	13.8	0
126	1	0	0	5	58.2	94	22	6.94	11.9	1
141	1	0	0	1	215.6	113	54	10.03	12.4	0
139	1	0	0	1	221.3	140	52	7.89	11.3	0
77	1	0	0	0	245.2	87	64	12.71	7.5	1
129	1	0	0	4	186	127	54	13.12	11.5	0
128	1	0	0.28	0	195.6	99	59.8	13.39	16	0
70	1	0	0.3	2	156.4	108	45	8.55	8.6	0
139	1	0	0.29	1	138.1	103	40.9	8.23	8.3	0
121	1	0	0	5	215.6	74	54	9.65	10.1	0
86	1	1	2.65	0	225.5	107	86.5	12.32	9.8	0
73	1	0	0	1	192.2	86	47	8.43	9.4	0
113	1	0	0	2	156	141	49	12.84	11.9	0
98	1	0	0.33	0	236.2	122	60.3	9.47	13.3	0
89	1	0	0.29	1	178.7	81	53.9	11.69	9.1	0
78	1	0	0	3	252.9	93	59	8.92	9.5	0
88	1	0	0	1	142.2	107	47	13.12	10.1	0
121	1	0	0.32	2	207.9	98	57.2	10.53	7.7	0
51	1	0	0	0	227.2	89	56	9.72	14.9	0
118	1	1	2.57	1	289.5	52	89.7	8.33	9.5	0
78	1	0	0.21	2	162.3	116	46.1	9.62	10.1	0
52	1	0	0.34	2	124.9	131	50.4	15.03	11.6	0
58	1	0	0.29	2	243.1	105	63.9	11.57	7.8	0
110	1	0	0.31	3	74.5	117	33.1	10.04	9.8	0
103	1	1	2.94	6	87.2	92	59.4	8.47	10.9	1
115	1	0	0	7	139.3	89	41	9.62	9.3	1
120	1	1	1.86	1	215.8	123	79.6	14.26	6.9	0
148	1	0	0.29	2	243	115	60.9	9.59	13.4	0
125	0	0	0	0	187.3	118	46	8.04	9.6	1
119	1	1	3.19	2	154	114	81.9	13.9	11.8	0
133	1	0	0	1	162.1	91	46	10.61	12.2	0
73	1	0	0.41	1	157.6	92	48.1	9.92	9.1	0
86	1	1	2.27	3	157.2	118	66.7	9.82	8.4	0
221	1	1	0.65	0	180.5	85	56.5	11.21	2.4	0
65	1	0	0.33	0	195.4	110	52.3	9.06	8.9	0
152	1	0	0	1	317.8	60	68	7.65	10.4	1
158	1	0	0.33	1	175.9	105	49.3	9.42	11	0
161	1	1	4.35	0	240.4	112	102.5	10.09	16.1	0
148	1	1	3.65	3	230.7	102	96.5	11.69	13.5	0
94	1	0	0.28	3	269.2	104	65.8	9.69	8.9	1
41	1	1	4.64	2	194.4	63	101.4	12.75	17.2	0
177	0	0	0	1	248.7	118	57	8.62	11.3	1
108	1	0	0.21	3	210.7	112	59.1	11.94	9.2	0
100	1	0	0	1	218.8	125	50	7.42	9.7	0
70	1	1	2.54	3	143.4	72	64.4	8.5	9.4	0
152	1	0	0	2	140.5	92	40	9.34	9.5	0
62	1	0	0	2	182.3	101	59	16.41	11.2	0
98	1	0	0	4	221.2	80	56	10.68	11.9	0
52	1	0	0	0	165.5	78	46	10.28	12.2	0
96	1	1	2.78	5	172.7	93	67.8	6.01	10.3	1
84	1	0	0.14	2	226.9	144	57.4	10.08	13.2	0
110	0	1	2.24	1	267.9	103	90.4	13.17	8.3	1
96	1	1	2.84	1	183.4	126	76.4	9.78	10.5	0
82	1	0	0	3	266.9	83	65	11.49	11	1
168	1	0	0	1	128.8	96	31	5.25	11.2	0
67	1	0	0	0	109.1	117	38	10.87	12.8	0
105	1	0	0	0	246.4	83	64	12.81	3.8	0
149	1	0	0	1	140.4	94	47	13.59	11.1	0
100	0	0	0.19	0	68.5	110	42.9	16.86	12.1	0
189	1	0	0	2	227.4	84	54	8.8	6.3	0
78	1	0	0	0	220	95	53	9	11.5	0
162	1	1	3.27	0	224.9	97	87.7	9.41	12.1	0
101	1	1	2.54	4	220.3	96	87.4	14.29	9.4	0
60	1	0	0	2	252.7	97	62	11.06	12.4	0
177	1	0	0	3	266.1	91	65	11.26	8.9	1
56	1	0	0.37	0	146.1	57	45.7	9.81	9.2	0
98	0	1	2.92	1	245.5	54	96.2	14.64	10.8	0
113	1	0	0	0	158.9	137	48	12.14	6.5	0
106	1	0	0	0	194.8	133	52	10.67	11.5	0
191	1	0	0	1	162	104	49	12.06	10.9	0
217	1	0	0	4	176.4	115	44	7.94	9.3	0
116	1	1	1.62	2	183.6	138	65.2	10.19	6	0
17	1	1	2.7	6	153.1	115	69	9.3	10	1
81	1	1	1.81	4	168.3	124	70.1	13.55	6.7	0
86	1	0	0	1	223.9	75	52	7.79	7.3	0
92	1	1	1.73	1	201.3	130	69.3	10.19	6.4	1
102	1	0	0	4	174.5	73	48	10.69	10.3	0
143	1	0	0.42	0	119.1	117	49.2	14.39	12.2	0
147	0	0	0	1	183.8	113	46	8.24	10.1	0
146	1	1	2	2	149.6	96	66	11.99	7.4	0
91	1	1	2.59	1	273	78	90.9	10.78	9.6	0
74	1	0	0	3	230.9	93	59	11.15	9.7	0
94	1	0	0	3	118.7	90	38	10.26	10.4	0
122	1	1	3.65	1	174.9	103	87.5	12.41	13.5	1
122	0	0	0	1	146.3	117	44	10.94	11.5	0
149	0	0	0.27	3	180.9	79	50.7	9.75	8.8	0
122	1	0	0	3	173.6	110	38	4.59	9.7	0
96	1	0	0	1	97.6	98	26	5.28	11.6	0
103	1	1	1.86	1	111.8	85	58.6	11.98	6.9	0
31	1	0	0.28	1	166.1	105	37.8	3.97	12.7	0
116	1	1	3.19	2	253	78	86.9	6.95	11.8	0
71	1	0	0.23	4	258.4	132	57.3	6.34	9.7	0
60	1	0	0	1	220.6	57	56	10.56	6.8	0
131	1	1	2.94	2	192.7	85	81.4	11.3	10.9	0
103	1	0	0	5	204.9	107	47	6.76	10.4	0
42	1	0	0	0	196.5	89	54	12.07	4	0
57	1	1	3	2	193.4	105	83	11.58	11.1	0
50	0	1	2.16	0	307.1	94	98.6	14.47	8	0
64	1	0	0.4	1	219.2	73	56	8.35	10	0
70	0	0	0	2	226.7	98	58	11.41	17.6	1
45	1	0	0	1	142.4	107	52	15.94	11.1	0
46	1	0	0	1	90.4	108	39	13.81	12.7	0
70	1	0	0	2	198.6	111	52	10.7	10.6	0
132	1	0	0	0	99.5	110	28	6.46	9.7	0
138	0	0	0	1	268.4	81	61	8.72	11.6	0
93	1	1	2.16	2	178.7	134	67.6	8.93	8	0
99	1	0	0	3	238.4	96	62	12.33	12.4	0
44	1	0	0.34	4	308.6	139	69.4	7.54	7.3	1
155	1	1	1.84	1	128.5	86	56.4	9.42	6.8	0
126	1	1	2.59	2	186.2	78	73.9	9.48	9.6	0
119	1	1	2.16	2	217.1	92	77.6	11.04	8	0
103	1	0	0.38	2	70.9	134	27.8	6.73	12	0
110	1	0	0.24	1	18.9	92	28.4	12.92	14.8	0
153	1	0	0.29	1	154.6	56	51.9	13.15	15.5	0
120	0	0	0	1	179.9	72	46	8.5	13.8	1
69	1	0	0.41	0	195.1	91	60.1	13.08	11.4	0
110	1	0	0	2	99.4	62	41	13.75	16.7	0
87	1	0	0	2	153.3	106	46	11.23	8.9	0
129	1	1	1.59	2	119.6	104	60.9	13.94	5.9	0
95	1	0	0	0	198.4	113	54	11.8	10.1	0
107	1	0	0	1	222.3	101	63	14.3	12.1	1
111	1	0	0	4	172.8	58	45	9.16	7.9	1
141	1	1	2.11	1	215.4	123	86.1	16.44	7.8	0
105	0	1	3.56	1	220.7	82	92.6	10.89	13.2	1
48	1	0	0	4	197.7	64	46	6.84	13.2	0
125	1	0	0	1	233.3	65	58	10.49	9.1	0
62	1	0	0	4	245.3	91	53	6.15	8.5	0
50	1	1	3.67	3	302.7	93	108.7	12.03	13.6	0
159	1	0	0	1	189.1	105	54	12.31	10.4	1
86	1	0	0	0	217.8	93	56	10.74	11.3	0
101	1	0	0	3	269.7	85	64	10.38	4.5	1
58	1	0	0	1	149.4	145	43	9.83	14.9	0
131	1	0	0	2	94.4	80	35	10.76	13.1	0
86	1	0	0	4	226.3	88	58	11.15	13	0
63	1	1	2.78	0	214.2	61	79.8	9.06	10.3	0
147	1	0	0	3	130.6	83	40	10.41	15.6	0
171	1	0	0	1	270.5	69	66	11.5	9.6	1
89	1	1	1.59	0	97.8	98	50.9	10.36	5.9	0
39	1	0	0	2	160.4	68	36	5.13	9.1	0
115	1	0	0	1	166.5	111	49	11.81	15.6	0
37	0	0	0	0	172.9	119	45	9.15	9.8	1
72	1	0	0	2	165.9	114	49	11.8	12	0
83	1	0	0	1	227.9	78	57	10.38	12.1	0
190	1	0	0	1	169.4	102	51	12.68	8.9	0
124	1	0	0	1	169.3	108	44	8.93	12.2	0
93	1	0	0	3	179.3	93	46	8.93	11.5	0
72	0	1	1.49	0	139.8	114	50.9	6.91	5.5	0
135	1	0	0	1	190.9	44	47	8.07	8.4	0
84	1	0	0	3	225.9	86	62	13.78	14.3	1
98	1	0	0	0	288.1	101	61	6.9	0	0
34	1	0	0.31	0	193.7	74	47.1	6.35	8.8	0
90	1	0	0	3	179.1	71	47	9.53	10.6	0
45	1	1	2.13	2	135.8	104	63.3	11.13	7.9	0
158	1	0	0.14	0	205.2	97	57.4	12.03	14.4	0
99	1	0	0	0	142.3	89	42	10.23	9.1	0
27	1	0	0	5	232.1	81	58	10.54	15	0
100	1	0	0	1	96.5	86	35	10.51	12.5	1
87	1	0	0	3	177.2	72	52	12.45	8.6	0
43	1	0	0	1	168.4	125	50	12.19	11.1	0
115	0	0	0	3	251.3	69	65	12.63	9.9	1
101	1	0	0	1	183.9	115	54	12.8	10.8	0
179	1	0	0	0	287.3	123	74	14.4	10.5	1
94	1	0	0	0	136.2	114	38	8.26	9.6	0
166	0	1	3.08	1	175.8	126	82.8	12.68	11.4	0
120	1	0	0	1	137.3	100	42	10.61	10.5	0
59	1	0	0.42	1	150.2	70	46.2	9.29	12.1	0
78	1	0	0	0	147.1	80	42	9.99	13.7	0
120	1	0	0	1	134.8	94	41	10.21	6.7	0
53	1	0	0	2	145.1	116	45	11.69	7.9	0
141	1	0	0	3	260.2	131	60	8.96	7.2	0
76	1	0	0.36	5	129.7	84	41.6	8.88	7.5	1
131	1	0	0	1	110.9	74	29	5.78	15.8	0
63	1	0	0	3	117.1	118	42	12.48	11.1	0
31	1	0	0	0	177.3	129	44	7.64	5.1	0
101	1	1	3.4	0	193.9	71	84	9.49	12.6	0
113	1	0	0	1	186	55	52	11.87	12.2	0
150	1	0	0	1	214	117	53	9.62	7.9	0
130	1	0	0.28	0	213.1	105	56.8	10.31	8.9	0
153	1	0	0	0	166.8	127	41	7.18	11.8	0
115	1	1	3.67	6	170.5	107	84.7	10.86	13.6	0
137	1	0	0	0	243.4	114	52	6.06	12.2	0
157	1	0	0	1	152.7	105	48	12.88	9.4	0
126	1	0	0	1	211.6	70	55	10.85	7.8	0
140	1	0	0	3	231.9	101	54	8.01	14.3	0
152	0	1	1.16	1	146.8	128	61.6	14.28	4.3	1
100	1	0	0.34	4	107	63	31.4	5.29	12.8	1
21	1	0	0	2	91.9	109	33	9.92	13	0
55	1	0	0.23	0	189	100	45.3	5.93	17.1	0
65	1	0	0	1	116.8	87	36	8.95	14.1	0
16	1	0	0	0	205.6	69	50	8.48	10.9	0
97	1	0	0.27	3	144.2	91	46.7	11.34	13.8	0
156	1	1	4	1	192.3	137	90	10	14.8	0
130	1	0	0	3	203.9	63	51	9.59	12.1	0
61	1	0	0	1	260	123	63	10.53	9	1
204	1	0	0	3	205.2	145	49	7.74	14.1	0
66	0	0	0.28	3	208.7	84	53.8	8.67	8.3	0
60	1	0	0	3	193.9	118	41	4.25	13.2	0
99	1	0	0.28	1	145.6	102	47.8	11.55	11.4	0
167	0	0	0	2	244.8	91	47	3.04	10.7	0
134	1	1	3	2	208.8	130	77	6.65	11.1	0
172	1	0	0	3	287.1	108	64	8.92	14.4	1
51	1	0	0	1	229.7	129	68	16.8	9.6	1
122	1	0	0	2	243.8	98	49	4.2	13.7	0
53	1	1	3.24	2	167.3	99	77.4	9.74	12	0
41	1	0	0.34	1	209.9	105	50.4	6.1	9.6	0
146	1	0	0	3	195.9	86	53	11.43	12.2	0
63	1	0	0	3	132.9	122	29	3.35	9.9	0
144	1	0	0	1	201.1	99	60	15.18	13.2	0
184	1	0	0	1	236.4	73	65	14.37	13.8	1
180	1	0	0	2	139	96	43	11.25	15.7	0
95	1	0	0.22	2	184.2	95	49.2	9.08	12.8	0
31	1	0	0	1	165.4	84	46	10.19	8.2	0
75	1	1	0.68	1	200.6	96	55.8	8.21	2.5	0
155	1	0	0	0	71.2	90	38	15.22	8.6	0
60	1	0	0	0	207.8	109	46	6.18	5.7	0
62	1	0	0	1	248.7	109	61	11	13.2	1
147	1	1	2.81	3	251.5	107	91.1	11.71	10.4	0
67	1	0	0	1	210.7	116	55	10.96	7.2	0
1	1	0	0	5	182.1	106	43	6.75	10	1
71	1	0	0	0	278.9	110	64	9.51	11.7	1
79	1	0	0	2	236.8	135	57	9.32	10.4	0
70	1	1	2.65	1	249.5	101	91.5	12.99	9.8	0
32	1	1	3.51	0	232.8	97	91.1	9.18	13	0
59	1	0	0.26	1	151.8	98	46.6	10.5	11.9	0
16	0	0	0	0	110	91	32	7.37	6.4	0
79	1	0	0	5	157.6	85	44	9.71	9.4	1
91	0	0	0	2	145	89	40	8.79	16.7	1
72	1	0	0	0	253	73	62	10.97	9.8	0
123	1	1	4.21	2	197.6	105	83.1	4	15.6	0
88	1	0	0	1	264.8	124	66	12.27	14.8	1
140	1	0	0.38	0	112.8	89	36.8	7.84	16.3	0
86	1	1	3	3	70.9	163	57	8.34	11.1	0
153	1	0	0	1	193.8	90	50	9.77	8.5	0
63	1	0	0	0	149.3	104	49	13.68	9.1	0
130	1	0	0	1	263.7	113	61	9.33	18.3	1
121	1	0	0	1	150.7	105	43	9.87	9.2	0
104	1	0	0	0	138.7	107	46	12.85	10	0
71	1	0	0	1	277.5	104	59	6.59	8.2	0
158	1	0	0	1	209.9	112	55	11.07	8.2	0
95	1	0	0	3	141.1	84	42	10.57	5.9	0
88	1	0	0	2	274.6	105	61	8.06	9.2	0
100	1	1	4.29	1	153.7	115	80.9	6.89	15.9	0
62	1	0	0	0	100	98	32	8.68	10.1	0
127	1	0	0.26	1	266.6	106	70.6	13.24	5.9	1
32	1	1	4.4	1	266.7	109	110	11.62	16.3	0
83	1	0	0	2	134.8	96	38	8.36	7.7	0
83	1	0	0	0	117.9	101	34	8.02	11.4	0
87	1	0	0	1	205.2	106	44	4.98	13.4	0
126	1	1	3.46	4	153.4	90	73.6	7.57	12.8	1
107	1	0	0	1	230.4	65	62	12.87	8.5	0
118	1	1	2.81	0	148.7	105	68.1	8.37	10.4	0
127	1	1	1.03	1	140.1	59	53.3	11.17	3.8	0
67	0	0	0	2	120.9	58	41	11.75	11.4	0
113	1	0	0	1	193.8	99	52	11.07	10.6	0
165	1	0	0	0	207.7	109	50	8.24	7.9	0
137	1	0	0	0	174.4	120	43	7.82	10.2	0
109	1	0	0	0	200.1	72	60	15.05	11.9	0
117	1	0	0.22	1	201.9	86	55.2	10.62	7.8	0
82	1	0	0	4	185.8	36	56	13.83	5.7	0
36	1	1	2.46	1	152.8	110	71.6	12.14	9.1	0
104	1	0	0	1	164.2	109	42	7.77	10.7	0
68	1	0	0	1	157.3	83	46	11.05	12	0
114	1	0	0	2	202.1	100	51	9.79	13.3	0
136	0	0	0	3	256.8	90	64	11.51	9.1	0
105	1	0	0	0	281.3	124	74	15.08	8.7	1
87	1	0	0	4	256.2	105	58	8.04	7.4	0
78	1	1	1.73	2	281.2	93	80.3	8.91	6.4	0
116	1	1	3.13	2	268.6	83	92.3	8.91	11.6	0
106	1	1	3.32	3	197.4	125	78.2	6.17	12.3	0
103	1	0	0	1	160.8	91	41	7.79	8.5	0
86	1	1	3.05	0	145.7	88	72.5	9.55	11.3	0
17	0	0	0.36	0	162.8	118	51.6	11.48	13.6	1
116	1	0	0.2	1	146.4	123	42	8.83	7.8	0
115	1	0	0	2	146.7	128	34	5.31	11.1	0
107	1	0	0	0	241.9	102	52	6.35	11.7	0
105	1	0	0	2	273.8	97	72	14.49	5.8	1
41	1	1	1.94	0	213.8	102	68.4	7.09	7.2	0
92	1	0	0.33	2	197.2	113	58.3	12.12	11	0
58	1	0	0	0	112.2	95	37	10.48	13.9	1
66	1	0	0	1	167.3	91	48	11.5	10.6	1
83	1	0	0	1	208.9	71	54	10.74	13	0
99	1	1	2.46	1	200.7	88	81.6	13.21	9.1	0
170	1	0	0	1	285.7	44	63	8.38	8.7	1
65	1	1	3.24	1	282.3	70	93.4	7.6	12	0
149	0	0	0.18	0	176.2	87	44.8	7.25	5.7	0
143	1	0	0	2	194.3	99	44	6.18	10.2	0
136	0	0	0	2	183.4	103	44	7.1	10.4	0
87	1	1	2.3	3	263.8	65	77	5.17	8.5	0
42	1	0	0.33	2	150.7	52	50.3	12.34	7	0
153	1	0	0	1	195.4	107	47	7.73	11.6	0
108	1	0	0	0	210.6	117	50	8.21	9.4	0
128	1	0	0	1	158.8	75	50	13.24	7.6	0
50	1	0	0	3	188.9	94	50	10.2	11.6	0
145	1	0	0	1	245.8	116	67	14.34	9	1
120	1	1	2.43	1	227.5	81	83.3	11.75	9	0
82	1	0	0	1	154	107	35	4.72	10.1	0
53	1	0	0.31	0	261.2	119	69.1	12.54	9.8	1
148	1	1	2.94	1	77.6	141	60.4	10.35	10.9	0
77	1	0	0	2	251.8	72	61	10.29	9.8	1
94	1	0	0	3	212.1	98	53	9.47	8.4	0
64	1	0	0	0	261.9	113	58	7.41	13.8	0
128	1	0	0	1	227.9	130	65	15.13	5.5	1
41	1	0	0	3	223.8	67	59	12.24	12.3	0
153	1	0	0.33	0	228.9	102	56.3	8.04	12.5	0
74	1	1	2.94	2	154.1	104	66.4	6.17	10.9	0
86	1	0	0.3	7	128.3	121	42	9.86	12.2	1
182	1	0	0	2	279.5	118	65	10.16	10.7	1
142	1	1	2.92	1	154	75	70.2	8.29	10.8	0
70	1	0	0	1	213.4	86	54	10.24	5.7	0
122	1	0	0	0	136.7	115	44	12.16	8.6	0
119	1	1	3	0	220.1	128	91	13.41	11.1	0
88	1	0	0.39	4	301.5	136	77.9	12.89	13.4	1
79	0	0	0.31	2	103.5	134	48.1	15.97	8.4	0
96	1	0	0	1	180.6	92	47	9.55	10.3	1
73	1	1	2.38	2	198.2	107	69.8	6.96	8.8	0
112	1	0	0	3	206.2	122	50	8.23	12.6	0
92	1	1	3.27	2	243.1	92	92.7	10.69	12.1	0
115	1	0	0	2	99.7	107	30	7.26	14.1	0
100	1	1	1.92	0	58.8	104	48.2	10.98	7.1	0
22	1	1	3.43	3	182.1	94	79.3	8.23	12.7	0
36	1	0	0	2	177.9	129	50	11.23	10.8	0
86	1	0	0	1	125.5	139	45	13.49	8.9	0
205	1	1	2.11	2	175.8	139	65.1	7.75	7.8	0
38	1	1	4.1	2	115.4	98	75	8.31	15.2	0
135	1	0	0	4	218.8	123	58	12.14	10.3	0
115	0	0	0	1	249.9	95	64	12.13	15.3	1
80	1	0	0	0	151.5	89	37	6.59	11.8	0
92	0	0	0	0	255.8	125	56	7.14	11.7	0
71	1	1	3.54	1	115.4	90	74.4	10.87	13.1	0
110	1	0	0	0	162	81	49	12.38	8.9	0
109	1	0	0	1	184.1	143	50	10.59	9.9	0
134	1	0	0	1	205.3	122	56	12.03	5	0
47	1	1	3.48	2	196.6	93	88.8	12.07	12.9	0
93	1	1	3.11	1	166.9	101	83.1	13.66	11.5	0
164	1	1	2.59	3	159.7	102	67.9	8.44	9.6	0
138	1	0	0.27	1	133.9	87	39.7	8.32	15.4	0
106	1	0	0	2	147.9	97	43	10.47	8.8	0
75	1	0	0	1	138.5	110	37	7.66	11.1	0
16	1	0	0.33	3	161.9	100	51.3	11.51	10.2	0
113	1	0	0	0	81.3	116	33	11.03	8.9	0
103	1	1	2.4	0	107.7	124	59	9.45	8.9	0
88	1	0	0	4	166.7	61	44	8.97	6.8	1
74	1	1	3.94	2	193.7	91	93.4	12.31	14.6	0
140	1	1	3	1	157.1	77	72	8.62	11.1	0
74	1	0	0	3	124.8	114	33	6.65	10.6	0
107	1	0	0.32	3	204.5	108	52.2	8.12	13.4	0
161	0	0	0	1	189.6	78	55	13.37	1.3	0
100	1	0	0.25	3	203.1	96	55.5	10.85	13.5	0
66	1	0	0.33	3	116.4	98	31.3	4.78	10.5	0
152	1	1	3.59	5	239.1	105	94.9	10.46	13.3	0
45	1	1	2.08	1	91.7	104	49.8	7.53	7.7	0
16	1	0	0.21	2	144.8	84	41.1	8.25	8.2	0
122	1	0	0	2	180	88	43	7.25	11.5	0
82	1	0	0.31	6	167.1	77	43.1	6.59	9.4	1
91	1	0	0	0	149	115	47	12.27	8.3	0
129	1	0	0	1	101.4	145	39	12.46	7.1	0
91	1	0	0	3	189.3	100	53	11.97	9.9	0
48	1	1	2.16	1	172	111	68.6	10.01	8	0
96	1	1	3.05	1	183.1	88	74.5	7.37	11.3	0
127	1	1	2.65	1	182	80	76.5	10.81	9.8	0
73	1	0	0	4	183.4	80	52	12.1	7.5	0
118	1	0	0	2	113	80	32	7.51	10.8	0
48	1	0	0	1	198.2	73	51	10.14	5.1	0
71	0	0	0	3	178.2	113	45	8.39	13.6	1
105	1	1	2.86	2	209.6	68	77.6	7.35	10.6	0
13	1	0	0	1	58.4	121	33	13.11	11.9	0
101	1	0	0	1	154.4	130	45	10.86	13.9	0
52	1	0	0	4	209.8	114	51	8.57	9.9	0
98	1	1	3.24	1	121	105	72.4	10.95	12	0
82	1	0	0.38	2	265.2	122	64.8	8.94	10.7	0
107	1	0	0	3	146.9	94	35	5.72	11.4	0
104	0	0	0	0	148.2	108	39	8.09	11	0
67	1	0	0.35	1	215.5	102	56.5	9.54	8.6	0
60	1	0	0	2	180.3	67	49	10.4	12.8	0
136	1	0	0.34	1	92	117	41.4	12.68	10.3	0
166	1	0	0.23	0	152.1	95	39.3	6.05	9.8	0
87	1	0	0	2	198.3	80	50	9.35	16.6	0
114	1	0	0	1	189.8	101	45	7.39	10.6	0
93	1	0	0.42	0	190.2	68	59.2	13.11	8.8	0
37	1	0	0	3	271.7	112	60	7.76	6.6	0
139	1	0	0	1	165	132	50	12.49	12.6	0
112	1	0	0	3	272.5	119	66	11.31	16.4	1
146	1	0	0	3	205.4	101	47	6.75	10.3	0
56	1	0	0.16	4	162.3	99	42.6	7.46	14.8	1
95	1	0	0	2	269	120	66	11.69	7.3	1
109	1	0	0	2	137	128	42	10.85	10	0
55	1	1	2.97	3	165.6	123	69.7	6.81	11	0
111	1	0	0.25	0	152.2	114	40.5	6.86	9.8	0
94	1	0	0.18	1	234.4	103	65.8	13.97	2	1
153	1	0	0	1	159.5	103	51	13.78	10.1	1
123	1	0	0	0	224	99	56	10.54	2.1	0
66	1	1	1.92	3	88.8	104	44.2	5.48	7.1	0
7	1	0	0	3	206.7	87	60	14.06	11	0
63	1	0	0.27	3	211.8	84	58.7	11.55	10.7	0
137	1	0	0	1	147.2	119	42	9.64	10.2	0
149	1	1	2.75	0	147.8	132	76.5	13.84	10.2	0
130	1	0	0.35	1	176.9	109	41.5	4.54	9.5	0
114	1	0	0.12	1	203.8	85	44.2	4.39	11.7	0
